அறிவு,ஞானம்;புத்தி,Knowledge;Wisdom,noun,curated-data
கல்வி,படிப்பு;வித்தை,Education;Learning,noun,curated-data
முயற்சி,பிரயத்தனம்;உழைப்பு,Effort;Endeavour,noun,curated-data
கோபம்,சினம்;வெகுளி,Anger;Rage,noun,curated-data
சினம்,கோபம்;வெகுளி,Anger;Fury,noun,curated-data
உதவி,துணை;ஒத்தாசை,Help;Assistance,noun,curated-data
ஈகை,தானம்;கொடை,Charity;Generosity,noun,curated-data
நல்லொழுக்கம்,நற்குணம்;ஒழுக்கம்,Good conduct;Virtue,noun,curated-data
ஒழுக்கம்,நெறி;நன்னடத்தை,Discipline;Conduct,noun,curated-data
நீதி,நியாயம்;நேர்மை,Justice;Fairness,noun,curated-data
கருணை,இரக்கம்;அருள்,Compassion;Mercy,noun,curated-data
பொறுமை,சகிப்புத்தன்மை;அமைதி,Patience;Tolerance,noun,curated-data
உண்மை,மெய்மை;நிஜம்,Truth;Reality,noun,curated-data
பொய்,பொய்மை;அசத்தியம்,Falsehood;Lie,noun,curated-data
துணிவு,தைரியம்;வீரம்,Courage;Bravery,noun,curated-data
பயம்,அச்சம்;திகில்,Fear;Apprehension,noun,curated-data
மகிழ்ச்சி,சந்தோஷம்;இன்பம்,Happiness;Joy,noun,curated-data
துயரம்,சோகம்;வேதனை,Sorrow;Grief,noun,curated-data
செல்வம்,வளம்;பொருள்,Wealth;Prosperity,noun,curated-data
நட்பு,தோழமை;நண்புறவு,Friendship;Companionship,noun,curated-data
