அறிவு,ஞானம்,synonym,0.93,curated-data
அறிவு,புத்தி,synonym,0.90,curated-data
அறிவு,அறியாமை,antonym,0.88,curated-data
கல்வி,படிப்பு,synonym,0.94,curated-data
கல்வி,வித்தை,synonym,0.90,curated-data
கல்வி,அறிவு,related,0.85,curated-data
முயற்சி,உழைப்பு,related,0.82,curated-data
முயற்சி,விடாமுயற்சி,synonym,0.90,curated-data
கோபம்,சினம்,synonym,0.96,curated-data
கோபம்,வெறுப்பு,related,0.72,curated-data
கோபம்,அமைதி,antonym,0.88,curated-data
சினம்,கோபம்,synonym,0.96,curated-data
உதவி,துணை,synonym,0.92,curated-data
உதவி,கருணை,related,0.76,curated-data
ஈகை,தானம்,synonym,0.94,curated-data
ஈகை,கொடை,synonym,0.91,curated-data
ஈகை,சுயநலம்,antonym,0.78,curated-data
நல்லொழுக்கம்,ஒழுக்கம்,synonym,0.92,curated-data
நல்லொழுக்கம்,நீதி,related,0.80,curated-data
நல்லொழுக்கம்,தீயொழுக்கம்,antonym,0.85,curated-data
ஒழுக்கம்,நெறி,synonym,0.90,curated-data
ஒழுக்கம்,நன்னடத்தை,synonym,0.91,curated-data
நீதி,நியாயம்,synonym,0.96,curated-data
நீதி,நேர்மை,related,0.82,curated-data
நீதி,அநீதி,antonym,0.95,curated-data
கருணை,இரக்கம்,synonym,0.95,curated-data
கருணை,அருள்,synonym,0.88,curated-data
கருணை,கொடுமை,antonym,0.86,curated-data
பொறுமை,சகிப்புத்தன்மை,synonym,0.92,curated-data
பொறுமை,கோபம்,antonym,0.84,curated-data
உண்மை,மெய்மை,synonym,0.95,curated-data
உண்மை,பொய்,antonym,0.98,curated-data
பொய்,பொய்மை,synonym,0.93,curated-data
துணிவு,தைரியம்,synonym,0.95,curated-data
துணிவு,வீரம்,related,0.82,curated-data
துணிவு,பயம்,antonym,0.87,curated-data
பயம்,அச்சம்,synonym,0.96,curated-data
பயம்,துணிவு,antonym,0.87,curated-data
மகிழ்ச்சி,சந்தோஷம்,synonym,0.94,curated-data
மகிழ்ச்சி,இன்பம்,related,0.88,curated-data
மகிழ்ச்சி,துயரம்,antonym,0.91,curated-data
துயரம்,சோகம்,synonym,0.94,curated-data
துயரம்,வேதனை,synonym,0.91,curated-data
துயரம்,மகிழ்ச்சி,antonym,0.91,curated-data
செல்வம்,வளம்,related,0.85,curated-data
செல்வம்,பொருள்,related,0.82,curated-data
