id,text,work,author,period,theme,source
1,"அகர முதல எழுத்தெல்லாம் ஆதி பகவன் முதற்றே உலகு","திருக்குறள்","திருவள்ளுவர்","Classical","அறம்","Project Madurai"
2,"கற்றதனால் ஆய பயனென்கொல் வாலறிவன் நற்றாள் தொழாஅர் எனின்","திருக்குறள்","திருவள்ளுவர்","Classical","கல்வி","Project Madurai"
3,"அன்பிற்கும் உண்டோ அடைக்குந்தாழ் ஆர்வலர் புன்கணீர் பூசல் தரும்","திருக்குறள்","திருவள்ளுவர்","Classical","அன்பு","Project Madurai"
4,"அன்பிலார் எல்லாம் தமக்குரியர் அன்புடையார் என்பும் உரியர் பிறர்க்கு","திருக்குறள்","திருவள்ளுவர்","Classical","அன்பு","Project Madurai"
5,"இனிய உளவாக இன்னாத கூறல் கனியிருப்பக் காய்கவர்ந் தற்று","திருக்குறள்","திருவள்ளுவர்","Classical","இனிமை","Project Madurai"
6,"அறம் செய விரும்பு.","ஆத்திச்சூடி","ஔவையார்","Classical","அறம்","Project Madurai"
7,"ஆறுவது சினம்.","ஆத்திச்சூடி","ஔவையார்","Classical","கோபம்","Project Madurai"
8,"இயல்வது கரவேல்.","ஆத்திச்சூடி","ஔவையார்","Classical","உதவி","Project Madurai"
9,"ஈவது விலக்கேல்.","ஆத்திச்சூடி","ஔவையார்","Classical","ஈகை","Project Madurai"
10,"ஊக்கமது கைவிடேல்.","ஆத்திச்சூடி","ஔவையார்","Classical","முயற்சி","Project Madurai"
11,"வித்தை விரும்பு.","ஆத்திச்சூடி","ஔவையார்","Classical","கல்வி","Project Madurai"
12,"மனம் தடுமாறேல்.","ஆத்திச்சூடி","ஔவையார்","Classical","மனம்","Project Madurai"
13,"புகழ்ந்தாரைப் போற்றி வாழ்.","ஆத்திச்சூடி","ஔவையார்","Classical","புகழ்","Project Madurai"
14,"மொழிவது அற மொழி.","ஆத்திச்சூடி","ஔவையார்","Classical","நல்லொழுக்கம்","Project Madurai"
15,"உத்தமனாய் இரு.","ஆத்திச்சூடி","ஔவையார்","Classical","நல்லொழுக்கம்","Project Madurai"
16,"பெரியாரைத் துணைக் கொள்.","ஆத்திச்சூடி","ஔவையார்","Classical","நட்பு","Project Madurai"
17,"மாற்றானுக்கு இடம் கொடேல்.","ஆத்திச்சூடி","ஔவையார்","Classical","எச்சரிக்கை","Project Madurai"
18,"மேன்மக்கள் சொல் கேள்.","ஆத்திச்சூடி","ஔவையார்","Classical","அறிவு","Project Madurai"
19,"அறிவுடையார் எல்லாம் உடையார்.","நல்வழி","ஔவையார்","Classical","அறிவு","Project Madurai"
20,"நல்லாரைக் காண்பதும் நன்றே நலமிக்க நல்லார் சொல் கேட்பதும் நன்றே","நல்வழி","ஔவையார்","Classical","நல்லொழுக்கம்","Project Madurai"
